source_class,destination_class
Account,uco-observable:Account
AccountAuthentication,uco-observable:AccountAuthentication
Action,uco-action:Action
ActionReferences,uco-action:ActionReferences
Annotation,uco-core:Annotation
Application,uco-observable:Application
ApplicationAccount,uco-observable:ApplicationAccount
Attachment,uco-observable:Attachment
Authorization,uco-investigation:Authorization
BirthInformation,uco-identity:BirthInformation
BluetoothAddress,uco-observable:BluetoothAddress
Bundle,uco-core:Bundle
Compression,uco-observable:CompressedStream
ComputerSpecification,uco-observable:ComputerSpecification
ConfigurationSetting,uco-tool:ConfigurationSettingType
Contact,uco-observable:Contact
ContentData,uco-observable:ContentData
DataRange,uco-observable:DataRange
Device,uco-observable:Device
DigitalAccount,uco-observable:DigitalAccount
DiskPartition,uco-observable:DiskPartition
DomainName,uco-observable:DomainName
EXIF,uco-observable:EXIF
EmailAccount,uco-observable:EmailAccount
EmailAddress,uco-observable:EmailAddress
Encoding,uco-observable:EncodedStream
Encryption,uco-observable:EncryptedStream
File,uco-observable:File
Fragment,uco-observable:Fragment
Hash,uco-types:Hash
IPv4Address,uco-observable:IPv4Address
Identity,uco-identity:Identity
Investigation,uco-investigation:Investigation
InvestigativeAction,uco-investigation:InvestigativeAction
LatLongCoordinates,uco-location:LatLongCoordinates
Location,uco-location:Location
Message,uco-observable:Message
MessageThread,uco-observable:MessageThread
MobileAccount,uco-observable:MobileAccount
MobileDevice,uco-observable:MobileDevice
NetworkConnection,uco-observable:NetworkConnection
OperatingSystem,uco-observable:OperatingSystem
PathRelation,uco-observable:PathRelation
PhoneAccount,uco-observable:PhoneAccount
PhoneCall,uco-observable:PhoneCall
PropertyBundle,uco-core:Facet
ProvenanceRecord,uco-investigation:ProvenanceRecord
RasterPicture,uco-observable:RasterPicture
SIMCard,uco-observable:SIMCard
SQLiteBlob,uco-observable:SQLiteBlob
SimpleAddress,uco-location:SimpleAddress
SimpleName,uco-identity:SimpleName
Tool,uco-tool:Tool
ToolConfiguration,uco-tool:ToolConfigurationType
Trace,uco-observable:CyberItem
WiFiAddress,uco-observable:WifiAddress
iPhoneDevice
